created_at,tree_id,block_id,the_geom,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
09/01/2015,195488,413493,POINT (-74.16176843708956 40.55832020616527),10,0,OnCurb,Alive,Fair,Acer ginnala,Amur maple,None,None,Damage,TreesCount Staff,"RootOther,BranchLights",No,No,Yes,No,No,No,Yes,No,No,973 ARMSTRONG AVENUE,10308,Staten Island,503,5,Staten Island,51,62,24,SI54,Great Kills,5014607,New York,40.55832021,-74.16176844,939299.415349,142729.099106
08/29/2015,184924,504108,POINT (-73.90281035245803 40.84983560625613),3,0,OnCurb,Alive,Poor,Ulmus americana,American elm,None,None,NoDamage,Volunteer,RootOther,No,No,Yes,No,No,No,No,No,No,1936 ANTHONY AVENUE,10457,Bronx,205,2,Bronx,15,86,33,BX41,Mount Hope,2038100,New York,40.84983561,-73.90281035,1011138.25231,248910.409381
08/31/2015,192294,327484,POINT (-73.7505809837239 40.69414596649315),37,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,117-024 201 PLACE,11412,Saint Albans,412,4,Queens,27,33,14,QN08,St. Albans,4038400,New York,40.69414597,-73.75058098,1053415.09066,192271.009537
08/30/2015,188761,302394,POINT (-73.91459447204626 40.783437262155715),17,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,20-056 20 STREET,11105,Astoria,401,4,Queens,22,36,13,QN72,Steinway,4010500,New York,40.78343726,-73.91459447,1007901.67349,224715.718269
08/30/2015,189940,302377,POINT (-73.91206577688445 40.78183619303114),13,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,20-044 24 STREET,11105,Astoria,401,4,Queens,22,36,13,QN72,Steinway,4010500,New York,40.78183619,-73.91206578,1008602.53987,224133.087545
08/21/2015,163875,208277,POINT (-73.93097316077315 40.58453675842773),14,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,2847 KNAPP STREET,11235,Brooklyn,315,3,Brooklyn,48,59,22,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3062200,New York,40.58453676,-73.93097316,1003422.96558,152246.483615
08/24/2015,171588,408752,POINT (-74.16442171984586 40.61544132982603),25,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,Volunteer,BranchLights,No,No,No,No,No,No,Yes,No,No,109 ROMAN AVENUE,10314,Staten Island,502,5,Staten Island,50,63,24,SI05,New Springville-Bloomfield-Travis,5029104,New York,40.61544133,-74.16442172,938601.210708,163541.098493
08/28/2015,181473,106550,POINT (-73.97055355284611 40.78755732166394),12,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,1or2,Harmful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,61 WEST 88 STREET,10024,New York,107,1,Manhattan,6,69,30,MN12,Upper West Side,1017300,New York,40.78755732,-73.97055355,992404.211698,226206.637203
08/27/2015,179494,349428,POINT (-73.8489220158499 40.73791650447109),8,0,OnCurb,Alive,Fair,Ulmus americana,American elm,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,110-022 COLONIAL AVENUE,11375,Forest Hills,406,4,Queens,29,27,16,QN17,Forest Hills,4074500,New York,40.7379165,-73.84892202,1026117.18266,208155.587676
08/27/2015,179651,349433,POINT (-73.84843342902634 40.737531101147574),17,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,110-022 COLONIAL AVENUE,11375,Forest Hills,406,4,Queens,29,27,16,QN17,Forest Hills,4074700,New York,40.7375311,-73.84843343,1026252.82412,208015.407182
08/30/2015,188661,312637,POINT (-73.79585205192946 40.765096654425534),5,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,33-082 170 STREET,11358,Flushing,407,4,Queens,19,26,11,QN51,Murray Hill,4114100,New York,40.76509665,-73.79585205,1040800.98826,218087.987102
08/30/2015,188386,302321,POINT (-73.91049676852056 40.77997368915533),18,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,20-070 27 STREET,11105,Astoria,401,4,Queens,22,36,13,QN72,Steinway,4010500,New York,40.77997369,-73.91049677,1009037.75487,223454.954715
08/31/2015,192037,203632,POINT (-74.03391951302535 40.62103615128787),29,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,230 90 STREET,11209,Brooklyn,310,3,Brooklyn,43,46,22,BK31,Bay Ridge,3005800,New York,40.62103615,-74.03391951,974833.629713,165538.420285
08/30/2015,190115,106491,POINT (-73.97136275805653 40.78603545543292),17,0,OnCurb,Alive,Good,Quercus phellos,willow oak,1or2,Harmful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,40 WEST 86 STREET,10024,New York,107,1,Manhattan,6,69,29,MN12,Upper West Side,1016900,New York,40.78603546,-73.97136276,992180.310571,225652.095005
08/04/2015,119244,331240,POINT (-73.75219520944026 40.662434638966616),18,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,None,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,227-003 145 AVENUE,11413,Springfield Gardens,413,4,Queens,31,31,10,QN03,Springfield Gardens South-Brookville,4068000,New York,40.66243464,-73.75219521,1053000.14267,180716.436845
08/05/2015,121659,409102,POINT (-74.1173718409482 40.60249347336218),9,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,86 BOLIVAR STREET,10314,Staten Island,502,5,Staten Island,50,63,24,SI05,New Springville-Bloomfield-Travis,5017300,New York,40.60249347,-74.11737184,951657.44936,158802.852064
08/13/2015,143237,406298,POINT (-74.09984423227807 40.57845115848064),16,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,302 HAMDEN AVENUE,10306,Staten Island,502,5,Staten Island,50,64,24,SI45,New Dorp-Midland Beach,5011202,New York,40.57845116,-74.09984423,956514.639777,150037.599909
08/09/2015,132105,228993,POINT (-73.97711678832722 40.64218647848739),39,0,OnCurb,Alive,Fair,Acer saccharinum,silver maple,None,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,401 EAST 3 STREET,11218,Brooklyn,312,3,Brooklyn,39,44,17,BK41,Kensington-Ocean Parkway,3048800,New York,40.64218648,-73.97711679,990600.578166,173243.057763
08/04/2015,118769,102847,POINT (-73.98660086329274 40.719759138377796),5,0,OnCurb,Alive,Fair,Corylus colurna,Turkish hazelnut,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,131 NORFOLK STREET,10002,New York,103,1,Manhattan,1,65,26,MN27,Chinatown,1003001,New York,40.71975914,-73.98660086,987964.222547,201504.474009
08/16/2015,151575,348457,POINT (-73.86006187486797 40.71947082475158),25,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,86-001 66 AVENUE,11374,Rego Park,406,4,Queens,29,28,15,QN18,Rego Park,4069702,New York,40.71947082,-73.86006187,1023040.8102,201430.132951
08/13/2015,143026,337054,POINT (-73.75326962425427 40.673351655728666),32,0,OnCurb,Alive,Fair,Acer saccharinum,silver maple,1or2,Helpful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,219-008 138 ROAD,11413,Springfield Gardens,413,4,Queens,31,29,14,QN66,Laurelton,4035800,New York,40.67335166,-73.75326962,1052690.85851,184692.957764
08/22/2015,165029,322269,POINT (-73.77954308373778 40.7662955931536),35,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,207-015 36 AVENUE,11361,Bayside,411,4,Queens,19,26,11,QN46,Bayside-Bayside Hills,4112900,New York,40.76629559,-73.77954308,1045317.62424,218535.748018
08/18/2015,157920,323297,POINT (-73.75653466318799 40.75690759213043),3,0,OnCurb,Alive,Good,Prunus serotina,black cherry,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,222-021 KENILWORTH DRIVE,11364,Oakland Gardens,411,4,Queens,23,26,16,QN42,Oakland Gardens,4138501,New York,40.75690759,-73.75653466,1051700.558,215132.281399
08/09/2015,131562,349372,POINT (-73.85375547780835 40.734105299793065),24,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,None,None,Damage,NYC Parks Staff,RootOther,No,No,Yes,No,No,No,No,No,No,102-039 63 AVENUE,11375,Forest Hills,406,4,Queens,29,27,16,QN17,Forest Hills,4071900,New York,40.7341053,-73.85375548,1024780.03868,206764.774512
08/17/2015,153022,305766,POINT (-73.7862539618821 40.72499954735958),19,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,None,None,Damage,Volunteer,"Stones,TrunkOther",Yes,No,No,No,No,Yes,No,No,No,181-018 KILDARE ROAD,11432,Jamaica,408,4,Queens,24,24,11,QN06,Jamaica Estates-Holliswood,4127700,New York,40.72499955,-73.78625396,1043495.39495,203485.714798
08/20/2015,162964,406867,POINT (-74.15250829368087 40.588712582343504),16,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,None,None,Damage,TreesCount Staff,"Stones,RootOther,BranchLights",Yes,No,Yes,No,No,No,Yes,No,No,91 MC VEIGH AVENUE,10314,Staten Island,502,5,Staten Island,50,63,24,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthous,5027705,New York,40.58871258,-74.15250829,941891.805833,153797.160303
09/07/2015,208525,103974,POINT (-73.98974807814508 40.764580563550844),0,9,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,424 WEST 51 STREET,10019,New York,104,1,Manhattan,3,75,27,MN15,Clinton,1013300,New York,40.76458056,-73.98974808,987089.907694,217834.227439
08/19/2015,159649,315041,POINT (-73.84269904004744 40.785331699005575),6,0,OnCurb,Alive,Good,Juniperus virginiana,eastern redcedar,None,None,NoDamage,Volunteer,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,125-007 14 AVENUE,11356,College Point,407,4,Queens,19,27,11,QN23,College Point,4094700,New York,40.7853317,-73.84269904,1027810.68944,225433.507844
08/21/2015,164329,312996,POINT (-73.8082914975296 40.768431370782906),39,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,156-001 33 AVENUE,11354,Flushing,407,4,Queens,19,40,11,QN51,Murray Hill,4115100,New York,40.76843137,-73.8082915,1037352.4863,219295.145777
08/26/2015,176111,230587,POINT (-73.95696074016637 40.639636998375025),3,0,OnCurb,Alive,Good,Juniperus virginiana,eastern redcedar,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,529 EAST 22 STREET,11226,Brooklyn,314,3,Brooklyn,40,42,21,BK42,Flatbush,3051601,New York,40.639637,-73.95696074,996194.766453,172316.317819
08/26/2015,178894,222330,POINT (-73.90830663505174 40.69791921791782),4,0,OnCurb,Alive,Good,Prunus serotina,black cherry,None,None,NoDamage,Volunteer,"TrunkOther,BranchLights",No,No,No,No,No,Yes,Yes,No,No,816 WYCKOFF AVENUE,11237,Brooklyn,304,3,Brooklyn,37,54,18,BK77,Bushwick North,3043900,New York,40.69791922,-73.90830664,1009675.60104,193560.555514
08/20/2015,162178,227513,POINT (-73.96444166434875 40.61242515683779),20,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,None,None,Damage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,909 AVENUE O,11230,Brooklyn,312,3,Brooklyn,44,48,22,BK46,Ocean Parkway South,3044200,New York,40.61242516,-73.96444166,994122.596057,162401.389814
07/16/2015,73302,340949,POINT (-73.89324990156877 40.75237428897951),8,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,1or2,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,34-015 73 STREET,11372,Jackson Heights,403,4,Queens,25,34,13,QN28,Jackson Heights,4028900,New York,40.75237429,-73.8932499,1013826.49464,213404.938397
08/31/2015,191083,310430,POINT (-73.83028810474481 40.71266474924727),6,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,107 81 AVENUE,11415,Kew Gardens,409,4,Queens,29,28,15,QN60,Kew Gardens,4077300,New York,40.71266475,-73.8302881,1031298.88588,198965.064062
08/20/2015,163225,349332,POINT (-73.8577866877099 40.73433313918474),17,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,Damage,Volunteer,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,62-027 99 STREET,11374,Rego Park,406,4,Queens,29,35,16,QN17,Forest Hills,4071900,New York,40.73433314,-73.85778669,1023662.70003,206845.943969
08/29/2015,184448,505559,POINT (-73.8928498165053 40.85600070282801),8,0,OffsetFromCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,469 EAST 184 STREET,10458,Bronx,206,2,Bronx,15,78,33,BX01,Claremont-Bathgate,2038500,New York,40.8560007,-73.89284982,1013891.16118,251159.801864
09/04/2015,203468,348382,POINT (-73.84915063594836 40.71760215260353),15,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,100-007 70 AVENUE,11375,Forest Hills,406,4,Queens,29,28,15,QN17,Forest Hills,4072300,New York,40.71760215,-73.84915064,1026066.57219,200754.339683
08/29/2015,183939,504242,POINT (-73.90149295162624 40.853583188310736),3,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,Volunteer,BranchLights,No,No,No,No,No,No,Yes,No,No,2090 ANTHONY AVENUE,10457,Bronx,205,2,Bronx,15,86,33,BX41,Mount Hope,2038100,New York,40.85358319,-73.90149295,1011501.18564,250276.202581
08/29/2015,183941,504242,POINT (-73.90142196275109 40.85378583735348),4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,2100 ANTHONY AVENUE,10457,Bronx,205,2,Bronx,15,86,33,BX41,Mount Hope,2038100,New York,40.85378584,-73.90142196,1011520.74105,250350.05742
08/31/2015,191268,105425,POINT (-73.98381721575313 40.73921100140552),9,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,Harmful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,157 EAST 23 STREET,10010,New York,106,1,Manhattan,2,75,28,MN21,Gramercy,1006800,New York,40.739211,-73.98381722,988734.536623,208591.52414
09/04/2015,201655,224121,POINT (-74.00402821462116 40.68210683997713),5,0,OnCurb,Alive,Good,Tilia americana,American linden,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,293 COLUMBIA STREET,11231,Brooklyn,306,3,Brooklyn,39,52,26,BK33,Carroll Gardens-Columbia Street-Red Hook,3005100,New York,40.68210684,-74.00402821,983132.753535,187786.361682
08/30/2015,189587,223272,POINT (-73.9748565957397 40.67222770823235),31,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,Helpful,Damage,Volunteer,"Stones,RootOther",Yes,No,Yes,No,No,No,No,No,No,9 FISKE PLACE,11215,Brooklyn,306,3,Brooklyn,39,52,21,BK37,Park Slope-Gowanus,3015700,New York,40.67222771,-73.9748566,991224.688138,184188.085742
08/27/2015,180306,338338,POINT (-73.81811316508589 40.583962822281),3,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,162 BEACH 97 STREET,11693,Far Rockaway,414,4,Queens,32,23,10,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Chan,4094201,New York,40.58396282,-73.81811317,1034771.4767,152082.281515
09/02/2015,198018,105722,POINT (-73.9746999208122 40.7501978633249),8,0,OnCurb,Alive,Poor,Ginkgo biloba,ginkgo,1or2,Helpful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,207 EAST 41 STREET,10017,New York,106,1,Manhattan,4,73,27,MN19,Turtle Bay-East Midtown,1008800,New York,40.75019786,-73.97469992,991259.94463,212594.986933
09/02/2015,198020,105722,POINT (-73.97454407007058 40.750413661356596),6,0,OnCurb,Alive,Poor,Ginkgo biloba,ginkgo,1or2,Helpful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,655 3 AVENUE,10017,New York,106,1,Manhattan,4,73,27,MN19,Turtle Bay-East Midtown,1008800,New York,40.75041366,-73.97454407,991303.103664,212673.621619
08/21/2015,164685,505190,POINT (-73.89371112573107 40.84765783915696),4,0,OnCurb,Alive,Fair,Acer platanoides,Norway maple,1or2,None,NoDamage,Volunteer,"TrunkOther,BranchOther",No,No,No,No,No,Yes,No,No,Yes,2007 LA FONTAINE AVENUE,10457,Bronx,206,2,Bronx,15,86,33,BX17,East Tremont,2037504,New York,40.84765784,-73.89371113,1013656.58389,248119.890621
08/24/2015,170671,339580,POINT (-73.76412300359742 40.60693099162316),3,0,OnCurb,Alive,Good,Liriodendron tulipifera,tulip-poplar,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,24-030 BAYSWATER AVENUE,11691,Far Rockaway,414,4,Queens,31,23,10,QN15,Far Rockaway-Bayswater,4100801,New York,40.60693099,-73.764123,1049745.39426,160485.900207
